Question,Casename,Consensus Answer,GPT Zero Shot
OPENING,Behavioral1,4.0,5
ELICITS SPECTRUM OF CONCERNS,Behavioral1,5.0,5
NEGOTIATES PRIORITIES & SETS AGENDA,Behavioral1,5.0,5
ELICITING THE NARRATIVE THREAD or the PATIENT_S STORY,Behavioral1,3.0,2
TIMELINE,Behavioral1,-,-
ORGANIZATION,Behavioral1,4.0,5
TRANSITIONAL STATEMENTS,Behavioral1,-,-
PACING OF INTERVIEW,Behavioral1,5.0,-
QUESTIONING SKILLS TYPES OF QUESTIONS,Behavioral1,4.0,3
QUESTIONING SKILLS SUMMARIZING,Behavioral1,4.0,5
QUESTIONING SKILLS DUPLICATION,Behavioral1,-,-
QUESTIONING SKILLS LACK OF JARGON,Behavioral1,4.0,5
QUESTIONING SKILLS VERIFICATION OF PATIENT INFORMATION,Behavioral1,-,-
INTERACTIVE TECHNIQUES,Behavioral1,-,-
VERBAL FACILITATION SKILLS,Behavioral1,4.0,4
NON-VERBAL FACILITATION SKILLS,Behavioral1,4.0,-
EMPATHY AND ACKNOWLEDGING PATIENT CUES,Behavioral1,4.0,4
PATIENTS PERSPECTIVE & BELIEFS,Behavioral1,4.0,3
IMPACT OF ILLNESS ON PATIENT AND PATIENT_S SELF-IMAGE,Behavioral1,-,-
IMPACT OF ILLNESS ON FAMILY,Behavioral1,-,-
SUPPORT SYSTEMS,Behavioral1,5.0,5
PATIENTS EDUCATION AND UNDERSTANDING,Behavioral1,5.0,5
ASSESS MOTIVATION FOR CHANGES,Behavioral1,5.0,5
ADMITTING LACK OF KNOWLEDGE,Behavioral1,-,-
INFORMED CONSENT FOR INVESTIGATIONS & PROCEDURES,Behavioral1,-,-
ACHIEVE A SHARED PLAN,Behavioral1,5.0,5
ENCOURAGEMENT OF QUESTIONS,Behavioral1,5.0,5
CLOSURE,Behavioral1,5.0,5
OPENING,Behavioral2,5.0,5
ELICITS SPECTRUM OF CONCERNS,Behavioral2,5.0,5
NEGOTIATES PRIORITIES & SETS AGENDA,Behavioral2,4.0,5
ELICITING THE NARRATIVE THREAD or the PATIENT_S STORY,Behavioral2,-,-
TIMELINE,Behavioral2,-,-
ORGANIZATION,Behavioral2,2.0,5
TRANSITIONAL STATEMENTS,Behavioral2,-,-
PACING OF INTERVIEW,Behavioral2,5.0,-
QUESTIONING SKILLS TYPES OF QUESTIONS,Behavioral2,4.0,4
QUESTIONING SKILLS SUMMARIZING,Behavioral2,5.0,5
QUESTIONING SKILLS DUPLICATION,Behavioral2,-,-
QUESTIONING SKILLS LACK OF JARGON,Behavioral2,5.0,5
QUESTIONING SKILLS VERIFICATION OF PATIENT INFORMATION,Behavioral2,4.0,4
INTERACTIVE TECHNIQUES,Behavioral2,-,-
VERBAL FACILITATION SKILLS,Behavioral2,5.0,4
NON-VERBAL FACILITATION SKILLS,Behavioral2,5.0,-
EMPATHY AND ACKNOWLEDGING PATIENT CUES,Behavioral2,5.0,3
PATIENTS PERSPECTIVE & BELIEFS,Behavioral2,5.0,3
IMPACT OF ILLNESS ON PATIENT AND PATIENT_S SELF-IMAGE,Behavioral2,5.0,3
IMPACT OF ILLNESS ON FAMILY,Behavioral2,-,-
SUPPORT SYSTEMS,Behavioral2,4.0,5
PATIENTS EDUCATION AND UNDERSTANDING,Behavioral2,5.0,5
ASSESS MOTIVATION FOR CHANGES,Behavioral2,4.0,5
ADMITTING LACK OF KNOWLEDGE,Behavioral2,-,-
INFORMED CONSENT FOR INVESTIGATIONS & PROCEDURES,Behavioral2,-,-
ACHIEVE A SHARED PLAN,Behavioral2,4.0,5
ENCOURAGEMENT OF QUESTIONS,Behavioral2,2.0,2
CLOSURE,Behavioral2,5.0,5
OPENING,Behavioral3,3.0,5
ELICITS SPECTRUM OF CONCERNS,Behavioral3,5.0,5
NEGOTIATES PRIORITIES & SETS AGENDA,Behavioral3,3.0,3
ELICITING THE NARRATIVE THREAD or the PATIENT_S STORY,Behavioral3,-,-
TIMELINE,Behavioral3,-,-
ORGANIZATION,Behavioral3,4.0,4
TRANSITIONAL STATEMENTS,Behavioral3,-,-
PACING OF INTERVIEW,Behavioral3,5.0,-
QUESTIONING SKILLS TYPES OF QUESTIONS,Behavioral3,4.0,3
QUESTIONING SKILLS SUMMARIZING,Behavioral3,4.0,3
QUESTIONING SKILLS DUPLICATION,Behavioral3,-,-
QUESTIONING SKILLS LACK OF JARGON,Behavioral3,5.0,5
QUESTIONING SKILLS VERIFICATION OF PATIENT INFORMATION,Behavioral3,4.0,4
INTERACTIVE TECHNIQUES,Behavioral3,-,-
VERBAL FACILITATION SKILLS,Behavioral3,5.0,4
NON-VERBAL FACILITATION SKILLS,Behavioral3,4.0,-
EMPATHY AND ACKNOWLEDGING PATIENT CUES,Behavioral3,5.0,4
PATIENTS PERSPECTIVE & BELIEFS,Behavioral3,4.0,3
IMPACT OF ILLNESS ON PATIENT AND PATIENT_S SELF-IMAGE,Behavioral3,3.0,5
IMPACT OF ILLNESS ON FAMILY,Behavioral3,-,-
SUPPORT SYSTEMS,Behavioral3,4.0,5
PATIENTS EDUCATION AND UNDERSTANDING,Behavioral3,3.0,5
ASSESS MOTIVATION FOR CHANGES,Behavioral3,5.0,5
ADMITTING LACK OF KNOWLEDGE,Behavioral3,-,-
INFORMED CONSENT FOR INVESTIGATIONS & PROCEDURES,Behavioral3,-,-
ACHIEVE A SHARED PLAN,Behavioral3,3.0,5
ENCOURAGEMENT OF QUESTIONS,Behavioral3,4.0,5
CLOSURE,Behavioral3,5.0,5
OPENING,Case1,3,3.0
ELICITS SPECTRUM OF CONCERNS,Case1,2,3
NEGOTIATES PRIORITIES & SETS AGENDA,Case1,1,1
ELICITING THE NARRATIVE THREAD or the PATIENT_S STORY,Case1,5,4.0
TIMELINE,Case1,4,5
ORGANIZATION,Case1,5,5
TRANSITIONAL STATEMENTS,Case1,-,-
PACING OF INTERVIEW,Case1,4,-
QUESTIONING SKILLS TYPES OF QUESTIONS,Case1,3,5
QUESTIONING SKILLS SUMMARIZING,Case1,2,3
QUESTIONING SKILLS DUPLICATION,Case1,4,5
QUESTIONING SKILLS LACK OF JARGON,Case1,5,5
QUESTIONING SKILLS VERIFICATION OF PATIENT INFORMATION,Case1,3,4
INTERACTIVE TECHNIQUES,Case1,-,-
VERBAL FACILITATION SKILLS,Case1,4,4
NON-VERBAL FACILITATION SKILLS,Case1,3,-
EMPATHY AND ACKNOWLEDGING PATIENT CUES,Case1,4,3
PATIENTS PERSPECTIVE & BELIEFS,Case1,-,-
IMPACT OF ILLNESS ON PATIENT AND PATIENT_S SELF-IMAGE,Case1,4,2
IMPACT OF ILLNESS ON FAMILY,Case1,-,-
SUPPORT SYSTEMS,Case1,5,3
PATIENTS EDUCATION AND UNDERSTANDING,Case1,-,-
ASSESS MOTIVATION FOR CHANGES,Case1,-,-
ADMITTING LACK OF KNOWLEDGE,Case1,-,-
INFORMED CONSENT FOR INVESTIGATIONS & PROCEDURES,Case1,-,-
ACHIEVE A SHARED PLAN,Case1,-,-
ENCOURAGEMENT OF QUESTIONS,Case1,2,1
CLOSURE,Case1,3,1
OPENING,Case2,5,5
ELICITS SPECTRUM OF CONCERNS,Case2,5,5
NEGOTIATES PRIORITIES & SETS AGENDA,Case2,5,5
ELICITING THE NARRATIVE THREAD or the PATIENT_S STORY,Case2,2,3
TIMELINE,Case2,3,5
ORGANIZATION,Case2,3,5
TRANSITIONAL STATEMENTS,Case2,-,-
PACING OF INTERVIEW,Case2,5,-
QUESTIONING SKILLS TYPES OF QUESTIONS,Case2,4,4
QUESTIONING SKILLS SUMMARIZING,Case2,5,5
QUESTIONING SKILLS DUPLICATION,Case2,4,4
QUESTIONING SKILLS LACK OF JARGON,Case2,3,5
QUESTIONING SKILLS VERIFICATION OF PATIENT INFORMATION,Case2,5,5
INTERACTIVE TECHNIQUES,Case2,-,-
VERBAL FACILITATION SKILLS,Case2,5,4
NON-VERBAL FACILITATION SKILLS,Case2,5,-
EMPATHY AND ACKNOWLEDGING PATIENT CUES,Case2,4,4
PATIENTS PERSPECTIVE & BELIEFS,Case2,-,-
IMPACT OF ILLNESS ON PATIENT AND PATIENT_S SELF-IMAGE,Case2,1,1
IMPACT OF ILLNESS ON FAMILY,Case2,-,-
SUPPORT SYSTEMS,Case2,2,1
PATIENTS EDUCATION AND UNDERSTANDING,Case2,-,-
ASSESS MOTIVATION FOR CHANGES,Case2,-,-
ADMITTING LACK OF KNOWLEDGE,Case2,-,-
INFORMED CONSENT FOR INVESTIGATIONS & PROCEDURES,Case2,-,-
ACHIEVE A SHARED PLAN,Case2,-,-
ENCOURAGEMENT OF QUESTIONS,Case2,4,5
CLOSURE,Case2,5,2
OPENING,Case3,5,5
ELICITS SPECTRUM OF CONCERNS,Case3,2,4
NEGOTIATES PRIORITIES & SETS AGENDA,Case3,2,1
ELICITING THE NARRATIVE THREAD or the PATIENT_S STORY,Case3,3,2
TIMELINE,Case3,4,5
ORGANIZATION,Case3,5,5
TRANSITIONAL STATEMENTS,Case3,-,-
PACING OF INTERVIEW,Case3,4,-
QUESTIONING SKILLS TYPES OF QUESTIONS,Case3,3,4
QUESTIONING SKILLS SUMMARIZING,Case3,5,5
QUESTIONING SKILLS DUPLICATION,Case3,5,4
QUESTIONING SKILLS LACK OF JARGON,Case3,5,5
QUESTIONING SKILLS VERIFICATION OF PATIENT INFORMATION,Case3,5,4
INTERACTIVE TECHNIQUES,Case3,-,-
VERBAL FACILITATION SKILLS,Case3,4,4
NON-VERBAL FACILITATION SKILLS,Case3,3,-
EMPATHY AND ACKNOWLEDGING PATIENT CUES,Case3,4,3
PATIENTS PERSPECTIVE & BELIEFS,Case3,-,-
IMPACT OF ILLNESS ON PATIENT AND PATIENT_S SELF-IMAGE,Case3,4,2
IMPACT OF ILLNESS ON FAMILY,Case3,-,-
SUPPORT SYSTEMS,Case3,4,4
PATIENTS EDUCATION AND UNDERSTANDING,Case3,-,-
ASSESS MOTIVATION FOR CHANGES,Case3,-,-
ADMITTING LACK OF KNOWLEDGE,Case3,-,-
INFORMED CONSENT FOR INVESTIGATIONS & PROCEDURES,Case3,-,-
ACHIEVE A SHARED PLAN,Case3,-,-
ENCOURAGEMENT OF QUESTIONS,Case3,2,1
CLOSURE,Case3,3,2
OPENING,Case4,2,3
ELICITS SPECTRUM OF CONCERNS,Case4,5,5
NEGOTIATES PRIORITIES & SETS AGENDA,Case4,5,5
ELICITING THE NARRATIVE THREAD or the PATIENT_S STORY,Case4,4,3
TIMELINE,Case4,4,5
ORGANIZATION,Case4,4,5
TRANSITIONAL STATEMENTS,Case4,-,-
PACING OF INTERVIEW,Case4,5,-
QUESTIONING SKILLS TYPES OF QUESTIONS,Case4,5,4
QUESTIONING SKILLS SUMMARIZING,Case4,3,5
QUESTIONING SKILLS DUPLICATION,Case4,5,5
QUESTIONING SKILLS LACK OF JARGON,Case4,2,4
QUESTIONING SKILLS VERIFICATION OF PATIENT INFORMATION,Case4,3,4
INTERACTIVE TECHNIQUES,Case4,-,-
VERBAL FACILITATION SKILLS,Case4,4,4
NON-VERBAL FACILITATION SKILLS,Case4,4,-
EMPATHY AND ACKNOWLEDGING PATIENT CUES,Case4,3,3
PATIENTS PERSPECTIVE & BELIEFS,Case4,-,-
IMPACT OF ILLNESS ON PATIENT AND PATIENT_S SELF-IMAGE,Case4,4,3
IMPACT OF ILLNESS ON FAMILY,Case4,-,-
SUPPORT SYSTEMS,Case4,1,1
PATIENTS EDUCATION AND UNDERSTANDING,Case4,-,-
ASSESS MOTIVATION FOR CHANGES,Case4,-,-
ADMITTING LACK OF KNOWLEDGE,Case4,-,-
INFORMED CONSENT FOR INVESTIGATIONS & PROCEDURES,Case4,-,-
ACHIEVE A SHARED PLAN,Case4,-,-
ENCOURAGEMENT OF QUESTIONS,Case4,5,5
CLOSURE,Case4,5,4
OPENING,Dental1,4.0,4
ELICITS SPECTRUM OF CONCERNS,Dental1,2.0,5
NEGOTIATES PRIORITIES & SETS AGENDA,Dental1,2.0,3
ELICITING THE NARRATIVE THREAD or the PATIENT_S STORY,Dental1,3.0,2
TIMELINE,Dental1,4.0,4
ORGANIZATION,Dental1,4.0,4
TRANSITIONAL STATEMENTS,Dental1,5.0,5
PACING OF INTERVIEW,Dental1,4.0,-
QUESTIONING SKILLS TYPES OF QUESTIONS,Dental1,3.0,3
QUESTIONING SKILLS SUMMARIZING,Dental1,4.0,5
QUESTIONING SKILLS DUPLICATION,Dental1,3.0,2
QUESTIONING SKILLS LACK OF JARGON,Dental1,3.0,4
QUESTIONING SKILLS VERIFICATION OF PATIENT INFORMATION,Dental1,4.0,4
INTERACTIVE TECHNIQUES,Dental1,-,-
VERBAL FACILITATION SKILLS,Dental1,4.0,4
NON-VERBAL FACILITATION SKILLS,Dental1,4.0,-
EMPATHY AND ACKNOWLEDGING PATIENT CUES,Dental1,4.0,3
PATIENTS PERSPECTIVE & BELIEFS,Dental1,5.0,4
IMPACT OF ILLNESS ON PATIENT AND PATIENT_S SELF-IMAGE,Dental1,-,-
IMPACT OF ILLNESS ON FAMILY,Dental1,-,-
SUPPORT SYSTEMS,Dental1,4.0,4
PATIENTS EDUCATION AND UNDERSTANDING,Dental1,-,-
ASSESS MOTIVATION FOR CHANGES,Dental1,-,-
ADMITTING LACK OF KNOWLEDGE,Dental1,-,-
INFORMED CONSENT FOR INVESTIGATIONS & PROCEDURES,Dental1,-,-
ACHIEVE A SHARED PLAN,Dental1,-,-
ENCOURAGEMENT OF QUESTIONS,Dental1,2.0,2
CLOSURE,Dental1,4.0,3
OPENING,Dental2,4.0,3
ELICITS SPECTRUM OF CONCERNS,Dental2,3.0,3
NEGOTIATES PRIORITIES & SETS AGENDA,Dental2,3.0,1
ELICITING THE NARRATIVE THREAD or the PATIENT_S STORY,Dental2,4.0,2
TIMELINE,Dental2,4.0,4
ORGANIZATION,Dental2,3.0,4
TRANSITIONAL STATEMENTS,Dental2,-,-
PACING OF INTERVIEW,Dental2,2.0,-
QUESTIONING SKILLS TYPES OF QUESTIONS,Dental2,4.0,3
QUESTIONING SKILLS SUMMARIZING,Dental2,3.0,1
QUESTIONING SKILLS DUPLICATION,Dental2,-,-
QUESTIONING SKILLS LACK OF JARGON,Dental2,2.0,4
QUESTIONING SKILLS VERIFICATION OF PATIENT INFORMATION,Dental2,4.0,4
INTERACTIVE TECHNIQUES,Dental2,-,-
VERBAL FACILITATION SKILLS,Dental2,4.0,3
NON-VERBAL FACILITATION SKILLS,Dental2,4.0,-
EMPATHY AND ACKNOWLEDGING PATIENT CUES,Dental2,3.0,2
PATIENTS PERSPECTIVE & BELIEFS,Dental2,5.0,4
IMPACT OF ILLNESS ON PATIENT AND PATIENT_S SELF-IMAGE,Dental2,-,-
IMPACT OF ILLNESS ON FAMILY,Dental2,-,-
SUPPORT SYSTEMS,Dental2,5.0,3
PATIENTS EDUCATION AND UNDERSTANDING,Dental2,3.0,5
ASSESS MOTIVATION FOR CHANGES,Dental2,-,-
ADMITTING LACK OF KNOWLEDGE,Dental2,-,-
INFORMED CONSENT FOR INVESTIGATIONS & PROCEDURES,Dental2,-,-
ACHIEVE A SHARED PLAN,Dental2,-,-
ENCOURAGEMENT OF QUESTIONS,Dental2,5.0,4
CLOSURE,Dental2,3.0,5
OPENING,Dental3,5.0,2
ELICITS SPECTRUM OF CONCERNS,Dental3,5.0,4
NEGOTIATES PRIORITIES & SETS AGENDA,Dental3,4.0,2
ELICITING THE NARRATIVE THREAD or the PATIENT_S STORY,Dental3,4.0,2
TIMELINE,Dental3,3.0,2
ORGANIZATION,Dental3,5.0,5
TRANSITIONAL STATEMENTS,Dental3,-,-
PACING OF INTERVIEW,Dental3,5.0,-
QUESTIONING SKILLS TYPES OF QUESTIONS,Dental3,4.0,3
QUESTIONING SKILLS SUMMARIZING,Dental3,2.0,1
QUESTIONING SKILLS DUPLICATION,Dental3,5.0,4
QUESTIONING SKILLS LACK OF JARGON,Dental3,5.0,4
QUESTIONING SKILLS VERIFICATION OF PATIENT INFORMATION,Dental3,-,-
INTERACTIVE TECHNIQUES,Dental3,-,-
VERBAL FACILITATION SKILLS,Dental3,5.0,4
NON-VERBAL FACILITATION SKILLS,Dental3,5.0,-
EMPATHY AND ACKNOWLEDGING PATIENT CUES,Dental3,4.0,5
PATIENTS PERSPECTIVE & BELIEFS,Dental3,2.0,2
IMPACT OF ILLNESS ON PATIENT AND PATIENT_S SELF-IMAGE,Dental3,-,-
IMPACT OF ILLNESS ON FAMILY,Dental3,-,-
SUPPORT SYSTEMS,Dental3,5.0,4
PATIENTS EDUCATION AND UNDERSTANDING,Dental3,3.0,5
ASSESS MOTIVATION FOR CHANGES,Dental3,4.0,5
ADMITTING LACK OF KNOWLEDGE,Dental3,-,-
INFORMED CONSENT FOR INVESTIGATIONS & PROCEDURES,Dental3,-,-
ACHIEVE A SHARED PLAN,Dental3,-,-
ENCOURAGEMENT OF QUESTIONS,Dental3,5.0,4
CLOSURE,Dental3,5.0,5
